Film,Script Type,Average critics ,Average audience ,Primary Genre,Opening Weekend,Domestic Gross,Foreign Gross,Worldwide Gross,Budget ($million),Release Date (US)
Early Man,original screenplay,75,58,adventure,3190525,8267544,45728842,53996386,50,16-Feb-18
Eighth Grade,original screenplay,94,85,drama,263797,12506396,-,12506396,12.5,13-Jul-18
Every Day,adaptation,58,60,drama,3016149,6112914,-,6112914,4.9,23-Feb-18
Fantastic Beasts: The Crimes of Grindelwald,sequel,45,60,fantasy,62163104,158058573,471900000,629958573,200,16-Nov-18
Fifty Shades Freed,"adaptation, sequel",22,37,drama,38560195,100407760,270741918,371149678,55,9-Feb-18
Finding Your Feet,original screenplay,62,65,comedy,60132,1418682,-,1418682,7,30-Mar-18
First Man,based on a true story,86,71,drama,16006065,44936545,55512117,100448662,59,12-Oct-18
First Reformed,original screenplay,89,73,thriller,97562,3448256,-,3448256,3.5,18-May-18
Forever My Girl,adaptation,30,72,drama,4245630,16376066,-,16376066,3.5,19-Jan-18
Game Night,original screenplay,75,76,comedy,17005332,69001013,48400000,117401013,37,23-Feb-18
God's Not Dead: A Light in Darkness,sequel,23,46,drama,2689677,5728940,0,5728940,,30-Mar-18
Goosebumps 2: Haunted Halloween,sequel,50,44,comedy,15802225,46700633,45967417,92668050,35,12-Oct-18
Gotti,based on a true story,12,50,drama,1719902,4286367,0,4286367,10,15-Jun-18
Green Book,based on a true story,76,85,comedy,5501520,35252256,160872,35413128,23,16-Nov-18
Gringo,original screenplay,43,48,black comedy,2722420,4969853,6031774,11001627,,9-Mar-18
Halloween ,sequel,73,72,horror,76221545,159342015,94337910,253679925,10,19-Oct-18
Hearts Beat Loud,original screenplay,78,73,drama,74524,2384689,0,2384689,2,8-Jun-18
Hereditary,original screenplay,88,68,horror,13575172,44062718,35269917,79332635,10,8-Jun-18
Holmes and Watson,adaptation,16,22,comedy,7411522,28410922,7100000,35510922,42,25-Dec-18
Hostiles,original screenplay,68,72,drama,10110739,29819114,0,29819114,45,5-Jan-18
Hotel Artemis,original screenplay,59,46,thriller,3232790,6708137,4516678,11224815,15,8-Jun-18
Hotel Transylvania 3: Summer Vacation,sequel,57,57,adventure,44076225,158946600,303666328,462612928,80,13-Jul-18
Hunter Killer,adaptation,40,71,action,6653777,15767460,0,15767460,40,26-Oct-18
I Can Only Imagine,based on a true story,48,86,drama,17108914,83482352,0,83482352,7,16-Mar-18
I Feel Pretty,original screenplay,40,34,comedy,16030218,48795601,39630481,88426082,32,20-Apr-18
